Title,Subtitle,Author,Format,Formats Owned
Fine Line,A Phantom Force Tactical Novel: A Phantom Force Tactical Novel (Book 2),Jessica James,Kindle,1
FIRE in the UK,A beginner's guide to Financial Independence (Financial Education),Andy Farrell,Kindle,1
FIRE STORM (The Zulu Virus Chronicles Book 3 of 3),A Black Flagged Thriller Series Spin Off (The Black Flagged Series),Steven Konkoly,Kindle,1
Fire Strike 7/9 Paul,,'Bommer' Grahame,Kindle,1
Fire Watch (Jack Widow Book 8),,Scott Blade,Kindle,1
Firewall,(Nick Stone Thriller 3),Andy McNab,Kindle,1
First Activation Darren,,Wearmouth,Kindle,1
First Bite,Steven Becker Starter Library,Steven Becker,Kindle,1
First Casualty,,Toby Harnden,Audible,1
"First Do No Harm (Benjamin Davis Book Series, Book 1,",,A. Turk,Kindle,1
First Things First,Snapshots,Stephen R Covey,"Physical, Kindle",2
First Thrills,,Lee Child,Kindle,1
First You Write a Sentence.,"The Elements of Reading, Writing ... and Life.",Joe Moran,"Kindle, Audible",2
Fishers of Men - The Gripping True Story of a British Undercover Agent in Northern Ireland,,Rob Lewis,"Kindle, Audible",2
Five Great Rules of Selling,,Percy H Whiting,Physical,1
Five Survive,n explosive crime thriller from the award-winning author of A Good Girls Guide to Murder,Holly Jackson,Kindle,1
Flash,,Tim Tigner,Kindle,1
Flash Bang,,Kellen Burden,Kindle,1
Flash Drive,,Peter C. Foster,Kindle,1
Flash for Freedom! (The Flashman Papers),Book 5,George MacDonald Fraser,Physical,1
Flashback (The Saskia Brandt Series Book Two) lan,,Hocking,Kindle,1
FlashForward,,Robert J Sawyer,Physical,1
Flashman and the Angel of the Lord,"From the Flashman Papers, 1858-59",George MacDonald Fraser,Physical,1
Flashman and the Dragon,"From the Flashman Papers, 1860: Book 10",George MacDonald Fraser,Physical,1
Flashman and the Mountain of Light,,George MacDonald Fraser,Physical,1
Flashman and the Redskins,"From the Flashman Papers, 1849-50 and 1875-76: Book 6",George MacDonald Fraser,Physical,1
Flashman and the Tiger,,George MacDonald Fraser,Physical,1
Flashman at the Charge,"From the Flashman Papers, 1854-55",George MacDonald Fraser,Physical,1
Flashman in the Great Game,"From the Flashman Papers, 1856-1858",George MacDonald Fraser,Physical,1
FLASHMAN ON THE MARCH,from the Flashman Papers 1867-8: Book 11,George MacDonald Fraser,Physical,1
Flashman's Lady,,George MacDonald Fraser,Physical,1
FLESH & BONES (Jake Lassiter Legal Thrillers Book 7),,Paul Levine,Kindle,1
Flood,,Stephen Baxter,Kindle,1
Florence Marco Polo Pocket Guide (Marco Polo Travel Guides),,Marco Polo,Physical,1
Flow,The Psychology of Happiness,Mihaly Csikszentmihalyi,Kindle,1
Fly By Wire,A Jammer Davis Thriller,Ward Larsen,Kindle,1
For Valour,(Nick Stone Thriller 16),Andy McNab,Kindle,1
For We Are Many,"Bobiverse, Book 2",Dennis E. Taylor,Audible,1
For We Are Many (Bobiverse Book 2),,Dennis Taylor,Kindle,1
For Your Eyes Only,Ian Fleming and James Bond,Ben Macintyre,Physical,1
Forging zero Sara King,,,Kindle,1
Forgotten Fatherland,The search for Elisabeth Nietzsche,Ben Macintyre,Physical,1
Fortress,(Tom Buckingham Thriller 2),Andy McNab,Kindle,1
Forty Days at Kamas (Kamas Trilogy Book 5),,Preston Fleming,Kindle,1
Founders' Keeper (A David and Martin Yerxa Thriller - Book 1),,Ed Markham,Kindle,1
Four Shots in the Night,"A True Story of Stakeknife, Murder and Justice in Northern Ireland",Henry Hemming,"Kindle, Audible",2
Four Thousand Weeks,Time Management for Mortals,Oliver Burkeman,"Physical, Audible",2
Free,How today's smartest businesses profit by giving something for nothing,Chris Anderson,Physical,1
Free to Focus,A Total Productivity System to Achieve More by Doing Less,Michael Hyatt,"Kindle, Audible",2
Freedom,,Daniel Suarez,Kindle,1
French Foreign Legion Commando,,Harry A. Dobson,Kindle,1
Fresh Doubt (Ingrid Skyberg FBI Thrillers Book 2),,Eva Hudson,Kindle,1
Friendly Fire,A Spider Shepherd short story (Dan Shepherd series Book 12),Stephen Leather,Kindle,1
Frost and Ashes (Daniel Trokics Series Book 2),,Inger Wolf,Kindle,1
"Frozen Past (A Jaxon Jennings' Detective Mystery Thriller Series, Book 1) Richard",,C Hale,Kindle,1
Fugitive Telemetry,The Murderbot Diaries,Martha Wells,"Kindle, Audible",2
Future Files,The 5 Trends That Will Shape the Next 50 Years,Richard Watson,Physical,1
Future Skills,The 20 Skills and Competencies Everyone Needs to Succeed in a Digital World,Bernard Marr,Physical,1
Futurevision,Scenarios for the World in 2040,Richard Watson; Oliver Freeman,Physical,1
G is for Gumshoe (Kinsey Millhone Alphabet series Book 7),,Sue Grafton,Kindle,1
Gai-Jin,The Third Novel of the Asian Saga: A Novel of Japan,James Clavell,Physical,1
Game Changer Doulas,,E Richards,Kindle,1
Game of Shadows,A Sean Wyatt Archaeological Thriller (Sean Wyatt Historical Mysteries Book 6),Ernest Dempsey,Kindle,1
Gap Selling,Getting the Customer to Yes:,Keenan,"Kindle, Audible",2
Genesis Code,"A Dystopian Society Thriller (Book 1, Genesis Series)",Eliza Green,Kindle,1
Geosynchron (Book Three of the Jump 225 Trilogy),,David Louis Edelman,Physical,1
Getting a Head (A Kat Parker Novel Book 3),,K.L. Phelps,Kindle,1
Getting About in the Great Outdoors (Puffin Books),,Anthony Greenbank,Physical,1
Getting Results without Direct Authority,A Practical Guide (Career Book 5),Sorin Dumitrascu,Kindle,1
Getting Things Done,How to Achieve Stress-free Productivity,David Allen,Physical,1
Getting to Yes,Negotiating an agreement without giving in,Roger Fisher; William Ury,Audible,1
Ghost Watch,(Vin Cooper Book 4),David Rollins,Kindle,1
Gibraltar Road,Commander Shaw Book 1,Philip McCutchan,Kindle,1
Give and Take,A Revolutionary Approach to Success,Adam Grant,Kindle,1
Give Me Tomorrow,The Korean War's Greatest Untold Story - The Epic Stand of the Marines of George Company,Patrick K. O'Donnell,Audible,1
Global Cooling (The Time Bubble Book 2),,Jason Ayres,Kindle,1
Globalization and Its Discontents,,Joseph Stiglitz,Physical,1
"Go-Givers Sell More Bob Burg, John David Mann",,Bob Burg,Kindle,1
God Save the Spy,A Cold War Spy Novel (John Ellsworth Historical Fiction),John Ellsworth,Kindle,1
God's Debris,The Complete Works,Scott Adams,Kindle,1
God's Memory,,Michael Landsberg,Kindle,1
Golden Son,Book II of the Red Rising Trilogy,Pierce Brown,Audible,1
Golden Son (#2),Red Rising Series,Pierce Brown,Kindle,1
Goliath (A Ryan Mitchell Thriller Book 1),,Richard Turner,Kindle,1
Gone Bad,A Jon Reznick Thriller (Jon Reznick Series),J.B. Durnen,Kindle,1
Gone to the Rapture (The Time Bubble Series Book 14),,Jason Ayres,Kindle,1
"Gone Tomorrow (Jack Reacher, Book 13)",,Lee Child,Kindle,1
Googled,,auletta-ken,Physical,1
Granta 83,This Overheating World (Granta: The Magazine of New Writing),Ian Jack,Physical,1
Graveyard of Empires,Ben Hope book 26,Scott Mariani,Kindle,1
Great by Choice,"Uncertainty, Chaos, and Luck--Why Some Thrive Despite Them All (Good to Great, 5)",Jim Collins,Physical,1
Great North Road,,Peter F. Hamilton,Physical,1
Green Lantern,New Guardians #1,Tony Bedard,Physical,1
Green Lantern,Revenge of the Green Lanterns,Geoff Johns,Physical,1
Green Lantern,"The Sinestro Corps War, Vol. 1",Geoff Johns,Physical,1
Green Lantern,"The Sinestro Corps War, Vol. 2",Geoff Johns,Physical,1
Green Lantern #2 The New 52 DC Comics 1ST PRINTING,,Geoff Johns,Physical,1
Green Lantern Movie Prequel Abin Sur #1,,Michael Green,Physical,1
Green Lantern Movie Prequel Hal Jordan #1,,Various,Physical,1
Green Lantern Movie Prequel Kilowog #1,,Fabrizio Fiorentino,Physical,1
Green Lantern Movie Prequel Sinestro #1,,Geoff Johns; M. Goldenberg,Physical,1
Green Lantern Movie Prequel Tomar-Re #1,,Marc Guggenheim,Physical,1
Green Lantern Super Spectacular #1,,Various,Physical,1
Green Mars,An unforgettable dystopian sci-fi novel (Mars Trilogy Book 2) Kim,Stanley Robinson,Kindle,1
Green Sun,The new novel from 'the world's best crime writer',Kent Anderson,Physical,1
Greenlights,,Matthew McConaughey,Audible,1
"Greenlights Raucous stories and outlaw wisdom from the Academy Award-winning actor, English",,Matthew McConaughey,Physical,1
Grit,How to Keep Going When You Want to Give Up,Martin Meadows,"Kindle, Audible",2
Grit,The Power of Passion and Perseverance,Angela Duckworth,"Physical, Kindle, Audible",3
Grosse Pointe Pulp,"John Rockne Mystery Thriller Series Books #1, #2 and #3",Dan Ames,Kindle,1
Ground Truth,3 Para Return to Afghanistan,Patrick Bishop,Physical,1
Gulag,A History of the Soviet Camps,Anne Applebaum,Physical,1
Gunmetal Gray (#6),(Grey Man Series),Mark Greaney,Kindle,1
"Guns, Germs and Steel",The Fate of Human Societies,Jared Diamond,Audible,1
"Guns, Germs and Steel",The MILLION-COPY bestselling history of everybody,Jared M. Diamond,Kindle,1
H is for Homicide,A Kinsey Millhone Mystery (Kinsey Millhone Alphabet series Book 8),Sue Grafton,Kindle,1
HABIT,a gripping detective thriller full of suspense (Titan Trilogy Book 1) T.J. BREARTON,,Kindle,1
Hack Attacks Revealed,A Complete Reference with Custom Security Hacking Toolkit,John Chirillo,Physical,1
Hacker's Movie Guide,The Complete List of Hacker and Cybersecurity Movies (2022-23 Edition),Steven C. Morgan,Physical,1
Hacking Exposed,Network Security Secrets and Solutions,Stuart McClure,Physical,1
Hadrian's Wall Path (Trail Guides),,Anthony Burton,Physical,1
Halting State,,Charles Stross,Kindle,1
Happy,Why More or Less Everything is,Absolutely Fine,"Kindle, Audible",2
Happy New Year (The Time Bubble Series Book 10),,Jason Ayres,Kindle,1
Hard Landing,The 1st Spider Shepherd Thriller (The Spider Shepherd Thrillers),Stephen Leather,Kindle,1
Havoc,An International Technothriller (The Blackwell Files Book 4),Steven F. Freeman,Kindle,1
Heading Out On Your Own,31 Basic Life Skills in 31 Days (The Art of Manliness),Brett H. McKay,Kindle,1
Heart Wounds (A Miranda and Parker Mystery Book 2),,Linsey Lanier,Kindle,1
Heaven's River,"Bobiverse, Book 4",Dennis E. Taylor,Audible,1
Heaven's River (Bobiverse Book 4),,Dennis E. Taylor,Kindle,1
Hell Yeah or No,what's worth doing,Derek Sivers,Physical,1
HELP!,How to Become Slightly Happier and Get a Bit More Done,Oliver Burkeman,Physical,1
Here Comes Everybody,The Power of Organizing Without Organizations,Clay Shirky,Physical,1
Here We Are,The phenomenal international bestseller from Oliver Jeffers,Oliver Jeffers,Physical,1
Heritage (Tales of the Phoenix Titan Book 1),,S.M. Warlow,Kindle,1
Heroes,The myths of the Ancient Greek heroes retold (Stephen Fry's Greek Myths Book 2),Stephen Fry,Kindle,1
Hidden Potential,The Science of Achieving Greater Things,Adam Grant,Kindle,1
High Performance,Lessons from the Best on Becoming Your Best,Jake Humphrey,Kindle,1
Hillwalking,The Official Handbook of the Mountain Training Walking Schemes,Steve Long,Physical,1
His Other Wife (A Stella Fall Psychological Suspense Thriller-Book One),,Ava Strong,Kindle,1
Hitchhiker's Guide to the Galaxy,"the comedy sci-fi classic, read by Stephen Fry",,Audible,1
Hitman Anders and the Meaning of It All,,Jonas Jonasson,Kindle,1
Hollywood Games,A Hollywood Alphabet Series Thriller,M.Z. Kelly,Kindle,1
Homo Deus,The million-copy bestseller from the author of Nexus,Yuval Noah Harari,Kindle,1
Hood. A Post-apocalyptic Novel (American Rebirth Series book),,Evan Pickering,Kindle,1
Hooked,How to Build Habit-Forming Products,Nir Eyal,Kindle,1
Hostile Territory,A Spider Shepherd short story (Dan Shepherd series Book 7),Stephen Leather,Kindle,1
HOSTILE WITNESS,A losie Bates Thriller (The Witness Series Book 11,Rebecca Forster,Kindle,1
Hot Blood,The Fourth Spider Shepherd Thriller,Stephen Leather,Kindle,1
HOT ZONE (The Zulu Virus Chronicles Book 1 of 3),A Black Flagged Thriller Series Spin-Off (The Black Flagged Series),Steven Konkoly,Kindle,1
House of Two Pharaohs,"Step into the world of gold, gods and deadly ambition with the latest Egyptian adventure (The Egyptian Book 10)",Wilbur Smith,Kindle,1
House or War,"The new gripping adventure thriller from the sunday Times bestseller (Ben Hope, Book 20)",Scott Mariani,Kindle,1
How Can Man Die Better,The Secrets of Isandwana Revealed,Mike Snook,Kindle,1
How I Raised Myself from Failure to Success in Selling,,Frank Bettger,Physical,1
How Not To Worry,The Remarkable Truth of How a Small Change Can Help You Stress Less and Enjoy Life More,Paul McGee,Kindle,1
How Spies Think,Ten Lessons in Intelligence,David Omand,Kindle,1
How To Be A Stoic,Ancient Wisdom for Modern Living,Massimo Pigliucci,Kindle,1
How To Be a Stoic (Penguin Great Ideas),,Epictetus,Physical,1
How to Behave and Why,,Munro Leaf,Physical,1
How to Develop Assertiveness,Practical Techniques for Personal Success (Kogan Page better management skills),Sam R. Lloyd,Physical,1
How to Develop Your Family Mission Statement,,Stephen R. Covey,Kindle,1
How to Develop Your Personal Mission Statement,,Stephen R. Covey,Kindle,1
How to Do Nothing,Resisting the Attention Economy,Jenny Odell,"Kindle, Audible",2
How to Fail at Almost Everything and Still Win Big,Kind of the Story of My Life,Scott Adams,Physical,1
How to Get Things Done Without Trying Too Hard 2e (2nd Edition),,Richard Templar,Physical,1
How to Get What You Want Without Having To Ask,,Richard Templar,Physical,1
How To Have A Good Day,The Essential Toolkit for a Productive Day at Work and Beyond,Caroline Webb,Kindle,1
How to Listen to Anyone and Be Understood,"7 Essential Skills to Master Active Listening, Build Trust, Validate Emotions &amp; Make Every Conversation Count ... Connections (People Skills Training Book 2)",Parker Lawson,Kindle,1
How to Live,27 conflicting answers and one weird conclusion,Derek Sivers,Physical,1
How to Live a Meaningful Life,"Using Design Thinking to Unlock Purpose, Joy, and Flow Every Day",Bill Burnett,"Kindle, Audible",2
How to Live on 24 Hours a Day,,Arnold Bennett,Kindle,1
How to Master the Art of Selling,,Tom Hopkins,Physical,1
How to Master the Art of Selling from SmarterComics,,Tom Hopkins,Kindle,1
How to Master Your Monkey Mind,"Overcome anxiety, increase confidence and regain control of your life",Don Macpherson,Kindle,1
How to Pass the New Police Selection System,,H. Tolley,Physical,1
How to Play Poker,And Other Gambling Card Games,Peter Arnold,Physical,1
How to Play Poker and Win,"The ""Late Night Poker"" Guide",Brian McNally,Physical,1
How to Read a Book,The Classic Guide to Intelligent Reading,Mortimer J. Adler,Physical,1
How to Read a book Charles,,Van Doren,Kindle,1
How To Sell Your Way Through Life,,Napoleon Hill,Physical,1
How To Stop Overthinking Everything You Do,"How To Eliminate Negative Thinking To Find Inner Peace, Develop Mental Contentment, And Stay Calm In The Face Of Chaos",Thinknetic,Kindle,1
How to Stop Time,,Matt Haig,"Kindle, Audible",2
How To Stop Worrying And Start Living,,Dale Carnegie,Physical,1
How to Take Smart Notes,"One Simple Technique to Boost Writing, Learning and Thinking - for Students, Academ...",Sönke Ahrens,"Kindle, Audible",2
How to Win Friends & Influence People,,,Audible,1
How to Win Friends and Influence People,,Dale Carnegie,Kindle,1
How to Write a Book,"An 11-Step Process to Build Habits, Stop Procrastinating, Fuel Self-Motivation, Quiet Your Inner Critic, Bust Through Writer's Block, & Let Your Creative Juices Flow (Short Read)",David Kadavy,Physical,1
How We Learn,,Benedict Carey,Audible,1
How Will You Measure Your Life?,,Clayton M. Christensen; James Allworth; Karen Dillon,Audible,1
How Will You Measure Your Life?,A thought-provoking approach to measuring life's success,James Allworth,Kindle,1
HP ASE Cloud Architect Official Exam Certification Guide (Exam HPO-D14) (HP ExpertONE),,,Kindle,1
Human Again,In the Al Age,J.D. Macpherson,Kindle,1
Human First Marketing,"The Art of Being Seen, Trusted and Remembered",Phil Treagus-Evans,Kindle,1
Humancorp Incorporated,,Andrew Stanek,Kindle,1
Humankind,A Hopeful History,Rutger Bregman,Audible,1
Humility Is the New Smart,Rethinking Human Excellence in the Smart Machine Age,Edward D. Hess,Physical,1
Hungry Ghost (Stephen Leather Novels Book 3),,Stephen Leather,Kindle,1
Hunt For Justice,Judge Willa Carson Books 1 - 2,Diane Capri,Kindle,1
Hunting Delilah (A Delilah Thriller Book 1),,Anne Baines,Kindle,1
Huntress Moon (The Huntress/FBI Thrillers Book 1),,Alexandra Sokoloff,Kindle,1
Hyperfocus,How to Work Less to Achieve More,Chris Bailey,Kindle,1
I Am Pilgrim,,Terry Hayes,Kindle,1
I don't want any more cheese - I just want out of the trap,get out of your career rut and find a job that makes you happy,Richard Templar,Physical,1
I is for Innocent,A Kinsey Millhone Mystery (Kinsey Millhone Alphabet series Book 9),Sue Grafton,Kindle,1
I Will Teach You to Be Rich,No Guilt. No Excuses. No B.S. Just a 6-Week Program That Works (Second Edition),Ramit Sethi,Audible,1
ICE,The Ice Trilogy Volume 1,Kevin Tinto,Kindle,1
if [tribe] = (The Bridge Chronicles Book 3),,Gary Ballard,Kindle,1
If Angels Fall (Tom Reed Series Book 1),,Rick Mofina,Kindle,1
If I Die in a Combat Zone (Paladin Books),,Tim O'Brien,Physical,1
If She Knew (A Kate Wise Mystery-Book 1),,Blake Pierce,Kindle,1
Illegal Action,(Liz Carlyle 3),Stella Rimington,Kindle,1
Illustrated Babywatching,,Desmond Morris,Physical,1
Imperial War Museums' Book of War Behind Enemy Lines,,Julian Thompson,Kindle,1
Improper Influence (Sasha McCandless Legal Thriller Book 5),,Melissa F. Miller,Kindle,1
In A Small Town (A Small Town Series Book 1)l,,Marc A. DiGacomo,Kindle,1
In Absence of Command (#2),The Interplanetary Empire of Great Britain Series,Richard Toulouse,Kindle,1
In Sheep's Clothing,Sydney Rye Mysteries #9,Emily Kimelman,Kindle,1
In the Country of Men (Penguin Essentials) (English Edition),,Hisham Matar,Physical,1
In the Face of the Enemy,A Battery Sergeant Major in Action in the Second World War,Ernest Powdrill,Kindle,1
In the Line of Duty,A brilliant action-packed mystery with heart-stopping twists (Detective Madison Knight Series Boo….,Carolyn Arnold,Kindle,1
In the Line of Fire (Donald Cameron Naval Thriller Book 1),,Philip McCutchan,Kindle,1
Indistractable,How to Control Your Attention and Choose Your Life,Nir Eyal; Julie Li,Audible,1
Influence,The Psychology of Persuasion (Collins Business Essentials) Robert B.,Cialdini PhD,Kindle,1
Influx,,Daniel Suarez,Kindle,1
Infoquake,Book One of the Jump 225 Trilogy,David Louis Edelman,Physical,1
Insider Justice,A Financial Thriller (A Marc Kadella Legal Mystery Book 8),Dennis Carstens,Kindle,1
Insight Guides USA on the Road (Travel Guide with free eBook),,Insight Guides,Physical,1
Inspired,How to Create Tech Products Customers Love (Silicon Valley Product Group),Marty Cagan,Kindle,1
INTEL 1 Omnibus,Books 1-4,Eric Stebbins,Kindle,1
"Interception & The New Space Race (Comet Clement series, #2 & #3)",,Kevin George,Kindle,1
Internet and E-mail Use and Abuse (Good Practice Series),,Clare Hogg,Physical,1
"Internet Book, The",Everything You Need to Know About Computer Networking and How the Internet Works,Douglas E. Comer,Physical,1
Internet Piracy Exposed,,Guy Hart-Davis,Physical,1
Interpersonal Communication,A Practical Guide (Productivity Book 1),Sorin Dumitrascu,Kindle,1
Interpersonal Communication Skills for Business,A Practical Guide (Productivity Book 8),Sorin Dumitrascu,Kindle,1
Into the Fire (Vigilante Justice #1),,FJ Gale,Kindle,1
"Introducing Microsoft Power BI Alberto Ferrari, Marco Russo 11 October 2018 Sweet Smell of Sucrets (The Reed Ferguson Mystery Series Book 8) Renee Pawlish 9 October 2018 The 1-Page Marketing Plan","Get New Customers, Make More Money, And Stand Out From The Crowd (Lean Marketing S...",Allan Dib,Kindle,1
Introducing Neurolinguistic Programming (NLP),A Practical Guide (Introducing...),Neil Shah,Kindle,1
Introducing Positive Psychology,A Practical Guide (Introducing...),Bridget Grenville-Cleave,Kindle,1
Introducing Windows Server 2012,,Mitch Tulloch,Kindle,1
Introducing Windows Server 2012 RTM Edition,,Mitch Tulloch,Kindle,1
Intrusion Detection,"An Introduction to Internet Surveillance, Correlation, Trace Back, Traps, and Response",Edward G. Amoroso,Physical,1
INVASION DELIVERANCE,A War and Military Action Thriller (The Invasion UK Series Book 4),DC Alden,Kindle,1
INVASION DOWNFALL,A War & Military Action Thriller (The Invasion UK Series Book 1)| DC ALDEN,,Kindle,1
INVASION FRONTLINE,A War and Military Action Thriller (The Invasion UK Series Book 3),DC Alden,Kindle,1
INVASION UPRISING,A War and Military Action Thriller (The Invasion UK Series Book 2),DC Alden,Kindle,1
Invidious (Tales of the Phoenix Titan Book 2),,S.M. Warlow,Kindle,1
Invitation to Die (The Killing Game--Book 1),,Jaden Skye,Kindle,1
Iron Gold,,Pierce Brown,Audible,1
Iron Gold (#4),Red Rising Series,Pierce Brown,Kindle,1
Iron Sunrise,(Singularity Sky Book 2),Charles Stross,Kindle,1
Irreparable Harm (Sasha McCandless Legal Thriller Book 1),,Melissa F. Miller,Kindle,1
Isabel's Run (Danny Logan Mystery #3),,M.D. Gravson,Kindle,1
Ishmael,A Novel,Daniel Quinn,Physical,1
"It Doesn't Have to Be Crazy at Work Jason Fried, David",,Heinemeier Hansson,Kindle,1
It's a State of Mind,Stop Existing | Start Living,James Boardman,"Physical, Kindle, Audible",3
IT'S ALL IN YOUR HEAD,,Russ,Physical,1
It's Not About You,A Brief Guide to a Meaningful Life,Tom Rath,"Kindle, Audible",2
J is for Judgement (Kinsey Millhone Alphabet series Book 10),,Sue Grafton,Kindle,1
Jake Fonko M.I.A. B.,,Hesse Pflingger,Kindle,1
Jarhead,A Marine's Chronicle of the Gulf War and Other Battles,Anthony Swofford,"Physical, Kindle",2
Jeffrey Gitomer's Sales Bible,The Ultimate Sales Resource: Including The 10.5 Commandments of Sales Success,Jeffrey Gitomer,Kindle,1
JET,,Russell Blake,Kindle,1
JET - Ops Files,Prequel,Russell Blake,Kindle,1
Job Interviews for Dummies (For Dummies Series),,Joyce Lain Kennedy,Physical,1
Joe Country,Slough House Thriller 6,Mick Herron,Kindle,1
Johnny Revenge (The Revenge Series Book 1),,Remington Kane,Kindle,1
JOSIAH THE GREAT,The True Story of The Man Who Would Be King: From the number one bestselling author of Operation Mincemeat & Agent Zig-Zag,Macintyre,Physical,1
JUDAS 62,The gripping new spy action thriller featuring BOX 88 from the master of the 21st century spy novel (B...,Charles Cumming,Kindle,1
Judas Unchained,(Commonwealth Saga Book 2),Peter F. Hamilton,"Kindle, Audible",2
Judas Unchained (Commonwealth Saga),,Peter F. Hamilton,Physical,1
Just Do Something,The Complete Cycle of Getting Things Done - From Why to Finished,Ben Wolf,Kindle,1
Justice in an Age of Metal and Men,,Anthony W. Eichenlaub,Kindle,1
Justice League #2,,Geoff Johns,Physical,1
Justice League International #5,,Dan Jurgens,Physical,1
Justified,An Edge of Your Seat Thriller (An Agent Jade Monroe FBI Thriller Book 2),C. M. Sutter,Kindle,1
K is for Killer (Kinsey Millhone Alphabet series Book 11),,Sue Grafton,Kindle,1
Keeping with Killers (The Salingers Book 1),,Adam Nicholls,Kindle,1
KENNEDY 35,"(BOX 88, Book 3)",Charles Cummings,Kindle,1
Kentucky Vice,An absolutely gripping crime thriller with a massive twist (Evan Buckley Thrillers Book 2),James Harper,Kindle,1
"KILL ALL THE LAWYERS (Solomon vs.Lord Legal Innters book 5,",,Paul Levine,Kindle,1
KILL BOX (The Zulu Virus Chronicles Book 2 of 3),A Black Flagged Thriller Series Spin-Off (The Black Flagged Series),Steven Konkoly,Kindle,1
Kill Shot,(The Mitch Rapp Series),Vince Flynn,Kindle,1
Kill Zone,A Sniper Novel (Kyle Swanson Series Book 1),Jack Coughlin,Kindle,1
Kill Zone,A Spider Shepherd short story (Dan Shepherd series Book 14),Stephen Leather,Kindle,1
Killer Thrillers,3 Action-Adventure Thrillers,Nick Thacker,Kindle,1
"Killing Chase (The Better Off Dead Series Book 1) Ben Muse, thewordverve",,,Kindle,1
"Killing Floor (Jack Reacher, Book 1)",,Lee Child,Kindle,1
Killing Me Softly (Previously published as Live and Let Die),,Bianca Sloane,Kindle,1
Killing Time,Serial Killers Never Retire - They Just Go On Hiatus (Stephen Leather Novels Book 16),Stephen Leather,Kindle,1
Killing Zone,"A Life in the PARAs, the RECCEs, the SAS and the RUC",Harry McCallion,Kindle,1
King Rat,The Fourth Novel of the Asian Saga,James Clavell,Physical,1
King's Ransom (The Alexander King Prequels Book 3),,Bradley Wright,Kindle,1
Kinsey and Me,Stories,Sue Grafton,Kindle,1
Klara and the Sun,,Kazuo Ishiguro,"Kindle, Audible",2
Knight & Culverhouse Box Set - Books 4-6,,,Kindle,1
Knight & Culverhouse Box Set — Books 1-3,,Adam Crott,Kindle,1
Koran. English J. M. (John Medows),,Rodwell,Kindle,1
L is for Lawless (Kinsey Millhone Alphabet series Book 12),,Sue Grafton,Kindle,1
La Belle Sauvage (Book of Dust 1),,Philip Pullman,Physical,1
lain M. Banks (Modern Masters of Science Fiction),,Paul Kincaid,Kindle,1
Last Light,,Alex Scarrow,Kindle,1
Last Light,(Nick Stone Thriller 4),Andy McNab,Kindle,1
Last Stand,"The Complete Four-Book Box Set (A Post-Apocalyptic, EMP-Survival Thriller)",William H. Weber,Kindle,1
LAUNDRY MAN (The Jack Shepherd Novels Book 1),,Jake Neednam,Kindle,1
Lauren's Odyssey (The Time Bubble Series Book 13),,Jason Ayres,Kindle,1
Leap (Breakthrough Book 2) michael c.,,Grumley,Kindle,1
"Learn, Improve, Master",How to Develop Any Skill and Excel at It,Nick Velasquez,Kindle,1
Leaving a Trace,On Keeping a Journal,Alexandra Johnson,Kindle,1
Legionnaire,"Five Years in the French Foreign Legion, the World's Toughest Army",Simon Murray,Kindle,1
Legwork,A Casey Jones Mystery (Casey Jones Mystery Series Book 1),Katy Munger,Kindle,1
"Leine Basso Thrillers, Vol. 1","(Serial Date, Bad Traffick, and The Body Market) (Leine Basso Thriller Boxset)",D.V. Berkom,Kindle,1
Leonardo Da Vinci,,Walter Isaacson,Audible,1
Let's Get Digital,"How To Self-Publish, And Why You Should (Fourth Edition) (Let's Get Publishing Book 1)",David Gaughran,Kindle,1
Let's Get Real or Let's Not Play,Transforming the Buyer/Seller Relationship,Mahan Khalsa,"Physical, Kindle, Audible",3
Let's Make Some Great Fingerprint Art,,Marion Deuchars,Physical,1
Leviathan Falls,Book 9 of the Expanse,James S.A. Corey,Kindle,1
Leviathan Wakes,Book 1 of the Expanse (now a Prime Original series),James S. A. Corey,Kindle,1
Liberation Day,(Nick Stone Thriller 5),Andy McNab,Kindle,1
Licensed to Thrill 1,Hunt For Jack Reacher Series Thrillers Books 1-3 (Diane Capri's Licensed to Thrill Sets),Diane Capri,Kindle,1
Life 3.0,Being Human in the Age of Artificial Intelligence,Max Tegmark,Kindle,1
Life Leverage,,Rob Moore,Physical,1
Life Of Pi,,Yann Martel,Kindle,1
Life on Earth,,David Attenborough,Audible,1
Life Under Fire,How to Build Inner Strength and Thrive Under Pressure,Jason Fox,Kindle,1
Life's Missing Instruction Manual,The Guidebook You Should Have Been Given at Birth,Joe Vitale,"Physical, Audible",2
Life's Operating Manual,With the Fear and Truth Dialogues,Tom Shadyac,Kindle,1
Lifestyle Mastery Series — Boxed Set (Books 1-3),"Drive Your Destiny, The Discipline of Masters, and The Master of Achi... Scott Allan",,Kindle,1
Light Bringer,"Red Rising, Book 6",Pierce Brown,Audible,1
Light Bringer (#6),Red Rising Series,Pierce Brown,Kindle,1
Lighten Up!,A Complete Handbook For Light And Ultralight Backpacking (Falcon Guide),Don Ladigin,Physical,1
Lights Out,(Surviving the EMP Book 1),Ryan Casey,Kindle,1
Limitless,"Upgrade Your Brain, Learn Anything Faster, and Unlock Your Exceptional Life",Jim Kwik,Kindle,1
Linchpin,Are You Indispensable? How to drive your career and create a remarkable future,Seth Godin,Kindle,1
Line of Control- A Thriller on the Coming War in Asia,,Mainak Dhar,Kindle,1
